alphabet,word,definition,alternative_word,alternative_definition,
A,a,"the first letter of the alphabet, and the first vowell",,,
A,a luca ti viddi,those daies are pafl I know you no more,,,
A,a lumaca,made winding vpward like a Snaile or wrinkle,"Scala a Lum??ca,",a winding paire of staires,
A,a luna piena,at the full of the Moone,,,
A,a luna prima,at the quarter of the Moone,,,
A,a luna scema,at the wane of the Moone,,,
A,a luna seconda,at the second quarter of the Moone,,,
A,a luna terza,at the third quarter of the Moone,,,
A,a lungo andare,in processe or tract of time,,,
A,a mal in corpo,against ones stomaoke,,,
A,a mal partito,"in an illplight, in bad state",,,
A,a man gionte,with ioined hands,,,
A,a man manca,on the left hand,,,
A,a man piene,"with full hands, fullhanded",,,
A,a man salua,"safely, without danger",,,
A,a man vuote,empty handed,,,
A,a mancanza di luna,at the waine of the Moone,,,
A,a mano,"at hand, ready by, with hand",,,
A,a mano a mano,"by and by, anon. Also in order, orderly",,,
A,a marauiglia,wonderously,,,
A,a maria orba,,,,
A,a masnade,"by troupes, by companies",,,
A,a massa,"by heapes, Gods plenty",,,
A,a menare,"to leade, to bring",,,
A,a menate,"by handfuls, plenty",,,
A,a menazampetto,as,,,
A,a mente,"in minde, by rote, by heart",,,
A,a merli,varied in armory,,,
A,a mezzo,"by halfes, or as we say in common betweene two Parteners. Also demye in armorie. Also right ouer, or oueragainst",,,
A,a mezzo tempo,the time of the yeere when it is neither hot nor cold but indifferent,,,
A,a migliaia,by thousands,,,
A,a minuto,"by retaile, smaly, distinctly",,,
A,a mio modo,after my fashion,,,
A,a mio senno,after my will and pleasure,,,
A,a moises,as Mosaico worke,,,
A,a morso a morso,bit by bit or morsell,,,
A,a morte,"to death, mortally",,,
A,a mosca cieca,"a game where one is hoodwinkt and who being hit must guesse who did it, as we say at hote cockles, or hoodman blinde",,,
A,a mucchio,"by heapes, by hudles",,,
A,a muda,"by turnes, by changes by shifts",,,
A,a murca,the dregs or grounds of oyle,,,
A,a muta,"by courses, by turnes, by shifts",,,
A,a naso,by sent or smell of the nose,,,
A,a niun conto,"by no meanes, no way",,,
A,a niun modo,"by no meanes, no way",,,
A,a noia hauere,to loath or be weary of,,,
A,a nome altrui,in the name of others,,,
A,a non cale,,,,
A,a non calere,"at naught, carelesly",,,
A,a nona,"at uoone, about midday",,,
A,a nuolo,at hire as an hired horse,,,
A,a nuoto,"swimming, by swimming",,,
A,a occhietti,with maile or oylet holes,,,
A,a occhio,"by sight, looke",,,
A,a ogni guisa,"how soeuer, euery way",,,
A,a ogni modo,euery manner of way,,,
A,a ogni patto,how soeuer euery way,,,
A,a onde,"made wauing, wauy, or ondy",,,
A,a onta,"in spite, or disgrace",,,
A,a orecchio teso,attentiuely,,,
A,a orza,sailing with a quarter winde,,,
A,a otto,put to any day it makes it that day senight,,,
A,a pali,paly in armory,,,
A,a paragone,in comparison or respect,,,
A,a paro,equaly euenhand. Also in comparison or respect. Also as,,,
A,a paro a paro,euenhand. Also by paines,,,
A,a parte,"seuerally, a part. Also sharing",,,
A,a parte a parte,part by part,,,
A,a partite,"partie in armorie, as partie per pale, per fess, per chief, per saltier, per bend, &c",,,
A,a partite di benda,partie per bend,,,
A,a partite di croce,partie per saltier,,,
A,a partite di fascie,partie per fesse,,,
A,a partite di pali,partie per pale,,,
A,a partite di sopra,parted in chiefe,,,
A,a partito,"put to voices, or in question",,,
A,a paruolo,"a bee-keeper. Also a greene bird with some red feathers, who feeds on bees called a Moodwall",,,
A,a passo,"by steps, by paces",,,
A,a passo lento,with a slow pace,,,
A,a patti,vpon bargaine or couenant,,,
A,a patto veruno,vpon no condition,,,
A,a peggio,at or to the worst,,,
A,a pelo,"euen, leuell, by the haire",,,
A,a pena,"vpon paine or forfeiture. Also scarcely, hardly, vnneth, scantly",,,
A,a perpendiculo,downe right or leuell,,,
A,a perpetuo,in perpetuitie,,,
A,a pesce spina,a kinde of worke called hearing-bone,,,
A,a peso traboccante,full or downe waight,,,
A,a petenza,a greedie desiring or coueting,,,
A,a petto,"in comparison, in respect. Also a pursinesse or shortnesse of breath or winde. Also front to front or right ouer against",,,
A,a petto a petto,"front, breast to breast",,,
A,a pezza,a while since,,,
A,a pezzo,by pieces,,,
A,a pezzo a pezzo,piece by piece,,,
A,a pi?,to more,,,
A,a pi? modi,many manner of waies,,,
A,a pi? non posso,with might and maine,,,
